Rain (mm),Temp,Runoff (mm/day),Date
0.2,11.2,0,21/01/1978
0,9.2,0,22/01/1978
0,10.5,0,23/01/1978
0,12.5,0,24/01/1978
0,11.4,0,25/01/1978
0,18.2,0,26/01/1978
31.4,10.4,0,27/01/1978
0,4,0,28/01/1978
0,5.2,0,29/01/1978
0,2.2,0,30/01/1978
0,3.8,0,31/01/1978
0,7.3,0, 1/02/1978
2.4,11,0, 2/02/1978
0,6.7,0, 3/02/1978
0,10.5,0, 4/02/1978
1.5,7.5,0, 5/02/1978
0.8,10.9,0, 6/02/1978
15.8,10.7,0, 7/02/1978
0.6,5.3,0, 8/02/1978
0,11.5,0, 9/02/1978
4.4,12.2,0,10/02/1978
5.8,13.5,0,11/02/1978
0,6.8,0,12/02/1978
0,7.4,0,13/02/1978
0,5.7,0,14/02/1978
0,9.8,0,15/02/1978
0,9.9,0,16/02/1978
1.8,13.2,0,17/02/1978
0.2,7.8,0,18/02/1978
0,9.5,0,19/02/1978
0.3,8.7,0,20/02/1978
2.6,7,0,21/02/1978
4.4,7,0,22/02/1978
27.8,7.8,0,23/02/1978
36.4,7.2,0,24/02/1978
0.4,8.2,0,25/02/1978
0.4,10.9,0,26/02/1978
12.4,13.9,0,27/02/1978
0,3.1,0,28/02/1978
0,9.7,0, 1/03/1978
0,8.3,0, 2/03/1978
2.4,13.3,0, 3/03/1978
2,12,0, 4/03/1978
23.6,11,0, 5/03/1978
0.8,12,0, 6/03/1978
3.6,4,0, 7/03/1978
4,7,0, 8/03/1978
0.7,6,0, 9/03/1978
0,8,0,10/03/1978
0,4,0,11/03/1978
4.8,3,0,12/03/1978
0,3.8,0,13/03/1978
16.2,6,0,14/03/1978
0,2.4,0,15/03/1978
0,3.2,0,16/03/1978
0,7.1,0,17/03/1978
0,1.1,0,18/03/1978
2.5,0.5,0,19/03/1978
0.4,2.2,2.5,20/03/1978
18.2,6.5,0,21/03/1978
22.4,3.8,0,22/03/1978
0,-1,0,23/03/1978
0.4,-0.5,0,24/03/1978
0,0.5,0,25/03/1978
0,2,0.4,26/03/1978
0,1,0,27/03/1978
0,2.7,0,28/03/1978
0,2.7,0,29/03/1978
13.2,9,0,30/03/1978
22.4,8.2,0,31/03/1978
0.4,8.5,0, 1/04/1978
1.4,-3,0, 2/04/1978
0,-1,0, 3/04/1978
0,-1.8,0, 4/04/1978
3.4,3.2,1.4, 5/04/1978
4.8,4,0, 6/04/1978
7.8,-1.8,0, 7/04/1978
0,-6.6,0, 8/04/1978
0,-4.6,0, 9/04/1978
0,-5.3,0,10/04/1978
0,-4,0,11/04/1978
0.8,-1,0,12/04/1978
0,-0.5,0,13/04/1978
0,0.9,0.8,14/04/1978
0,4.5,7.8,15/04/1978
4.6,0,0,16/04/1978
0,1.7,2.4,17/04/1978
0,5.3,2.2,18/04/1978
21,6.3,0,19/04/1978
42,7.5,0,20/04/1978
11,4.4,0,21/04/1978
0,1,0,22/04/1978
0,-2.2,0,23/04/1978
0,2,0,24/04/1978
0,-4,0,25/04/1978
0,-3.5,0,26/04/1978
0,-3.5,0,27/04/1978
20.4,1.4,0,28/04/1978
41.2,2.2,0,29/04/1978
6.4,-1.2,0,30/04/1978
0,-3.5,0, 1/05/1978
0.6,2,3, 2/05/1978
0,-4.5,0, 3/05/1978
0,-4,0, 4/05/1978
0,-1.5,0, 5/05/1978
0,-4,0, 6/05/1978
0,-2,0, 7/05/1978
0,-4,0, 8/05/1978
0,2.3,3.4, 9/05/1978
6.2,3,0,10/05/1978
2,1.7,0,11/05/1978
42.8,-0.8,0,12/05/1978
8.2,-3.2,0,13/05/1978
3.8,-4,0,14/05/1978
8.8,-3,0,15/05/1978
1.6,-2.7,0,16/05/1978
1.2,-0.6,0,17/05/1978
2.6,-1,0,18/05/1978
0,0,0,19/05/1978
0,1,1,20/05/1978
16.8,-1,0,21/05/1978
1.2,-2,0,22/05/1978
6,-0.5,0,23/05/1978
0,-4,0,24/05/1978
0,-4,0,25/05/1978
14,-7.2,0,26/05/1978
0,-3.5,0,27/05/1978
2,-1,0,28/05/1978
0,-5,0,29/05/1978
0,-7.5,0,30/05/1978
0,-5.5,0,31/05/1978
0,-5,0, 1/06/1978
2,-7,0, 2/06/1978
0,2,3, 3/06/1978
0,0.5,0, 4/06/1978
2,2.8,4.6, 5/06/1978
17.9,3,5, 6/06/1978
30,0,0, 7/06/1978
21.2,1,1, 8/06/1978
0,1,1, 9/06/1978
3,-4,0,10/06/1978
0,-4.5,0,11/06/1978
0,0,0,12/06/1978
15.6,1.5,2,13/06/1978
8,0,0,14/06/1978
16,0,0,15/06/1978
3.5,0.2,0,16/06/1978
0,-4.5,0,17/06/1978
0,-7,0,18/06/1978
0,-3.5,0,19/06/1978
0,-2.7,0,20/06/1978
0,-1,0,21/06/1978
10.2,1.5,2,22/06/1978
0,-0.5,0,23/06/1978
0,-1,0,24/06/1978
7.5,0,0,25/06/1978
0,-5.3,0,26/06/1978
0,-7.5,0,27/06/1978
0,-6,0,28/06/1978
0,0,0,29/06/1978
1.8,-3,0,30/06/1978
0.4,-1,0, 1/07/1978
1.5,0.5,0, 2/07/1978
0,-5.5,0, 3/07/1978
15,-12,0, 4/07/1978
37.5,-2,0, 5/07/1978
15,-1,0, 6/07/1978
1.8,-1.5,0, 7/07/1978
1.8,1,1, 8/07/1978
11.2,2,3, 9/07/1978
16.8,-3,0,10/07/1978
13.6,-1.5,0,11/07/1978
0,-5,0,12/07/1978
0,-6,0,13/07/1978
0,-7.5,0,14/07/1978
0,-5.5,0,15/07/1978
0.2,-6,0,16/07/1978
0,-4,0,17/07/1978
0.3,-4.8,0,18/07/1978
0,-5,0,19/07/1978
0,-5.5,0,20/07/1978
0,-5,0,21/07/1978
0,-5.5,0,22/07/1978
1.2,5,9,23/07/1978
22.4,4.5,8,24/07/1978
62,1,1,25/07/1978
22.6,-1,0,26/07/1978
0,-1.5,0,27/07/1978
0,-5.5,0,28/07/1978
0,-4,0,29/07/1978
10.2,0,0,30/07/1978
4.4,-1,0,31/07/1978
4,-3,0, 1/08/1978
2,-8.4,0, 2/08/1978
0,-7.5,0, 3/08/1978
